BV-098,b-Vibe Dart Silicone Anal Plug,15.00,33.00,Products,Ken,b-Vibe,Sleek tapered anal plug. Gear, Not Medicine.
EN-DD-6238,Evolved real Supple Poseable Girthy,17.49,38.48,Products,Ken,Evolved,Poseable internal dildo. Gear, Not Medicine.
DJ0301-02,A Play Hybrid Anal Lubricant - 4 oz,10.62,23.36,Products,Ken,Williams Trading,Hybrid silicone-water lubricant. Gear, Not Medicine.
SHTLVL010043TEA,Shots Levelz Set of 4 Cock & Ball Rings - Teal,21.95,48.29,Products,Ken,Shots,Silicone cock and ball ring set. Gear, Not Medicine.
SE0414-00,Weighted Silicone Anal Plug - Black,5.45,11.99,Products,Marcus,Williams Trading,Weighted silicone plug for endurance. Gear, Not Medicine.
BV-048BLK,b-Vibe Expand Plug - Black,85.00,187.00,Products,Marcus,b-Vibe,Graduated expansion plug with remote control. Gear, Not Medicine.
VI-A0108,VeDO Trio Anal Plug Set - Black,19.50,42.90,Products,Marcus,VeDO,Progressive plug set. Gear, Not Medicine.
XRAG409,Master Series Ball Trap Metal Ball Stretcher,36.74,80.83,Products,Marcus,XR Brands,Heavy metal ball stretcher. Gear, Not Medicine.
PF-ER-25,ErgoFlo Director - Black,37.95,83.49,Products,Jasper,ErgoFlo,Advanced prostate and perineum massager. Gear, Not Medicine.
BBGOLD,Boy Butter Gold Formula - 16 oz,44.99,98.98,Products,Jasper,Boy Butter,Rich cream lubricant and moisturizer. Gear, Not Medicine.
6755-12,Swiss Navy Silicone Lubricant - 32 oz,79.99,175.98,Products,Jasper,Swiss Navy,Professional large-format silicone lubricant. Gear, Not Medicine.
SS36001,Pivot Positioner SS360,115.00,253.00,Products,Gabe,Sportsheets,Positional support wedge and wedge system. Gear, Not Medicine.
SS77016,Precision Sting Crop,45.00,99.00,Products,Gabe,Sportsheets,Precision leather impact crop. Gear, Not Medicine.
SS09916,Shadow Full Hood,65.00,143.00,Products,Gabe,Sportsheets,Sensory isolation hood with lockable hardware. Gear, Not Medicine.
AH155-QP,Ultimate Obedience Chair,568.18,1250.00,Products,Simon,XR Brands,Heavy-duty bondage throne with integrated machine. Gear, Not Medicine.
AF596-QP,The Super Milker Automatic Stroker,131.36,289.00,Products,Simon,Sex Toy Distributing,Four-cylinder automatic stroker and suction suite. Gear, Not Medicine.
AH354-QP,St. Andrew's Cross Deluxe,309.09,680.00,Products,Simon,Sex Toy Distributing,Free-standing adjustable restraint frame. Gear, Not Medicine.
AH158-QP,Bareback Submission Horse,236.36,520.00,Products,Simon,Sex Toy Distributing,Heavy-duty bondage bench with 6 attachment points. Gear, Not Medicine.
CN1036-QP,Power Up Automatic Penis Pump,50.00,110.00,Products,Simon,Sex Toy Distributing,Rechargeable automatic vacuum pump. Gear, Not Medicine.
AH409-QP,Pleasure Throne Oral Chair,222.73,490.00,Products,Simon,Sex Toy Distributing,Adjustable oral sex chair with restraints. Gear, Not Medicine.
AJ098-QP,King Size Dungeon Bed with Suspension Canopy,2725.00,5995.00,Products,Simon,XR Brands,Carbon steel bed frame with 24 D-rings and canopy. Gear, Not Medicine.
AH700-QP,King West Industrial Bondage Bed Frame,1113.64,2450.00,Products,Simon,Queer Pathways Logistics,Heavy-duty steel canopy rigging bed frame. Gear, Not Medicine.
QP-SIL-01,Sovereign Starter 1oz Silicone Lube,8.40,18.49,Products,All,Double Outsider Supply Co,Entry-level trial volume silicone lubricant. Gear, Not Medicine.
W26103,Wet Platinum Silicone Lube - 3.1 oz,6.81,14.99,Products,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W26106,Wet Platinum Silicone Lube - 6.1 oz,9.08,19.99,Products,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W20702,Wet Platinum Silicone Lube - 9 oz,16.81,36.99,Products,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W20708,Wet Platinum Silicone Lube - 16 oz,27.26,59.99,Products,All,Wet,Professional 16 oz pump bottle. Gear, Not Medicine.
W20715,Wet Platinum Silicone Lube - 32 oz,52.26,114.99,Products,All,Wet,High-capacity 32 oz container. Gear, Not Medicine.
W20714,Wet Platinum Silicone Lube - 1 Gallon,159.08,349.99,Products,All,Wet,Flagship 1 gallon bulk volume container. Gear, Not Medicine.
WORIG310,Wet Original Water-Based Lube - 3.1 oz,4.54,9.99,Products,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG610,Wet Original Water-Based Lube - 6.1 oz,7.72,16.99,Products,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG9,Wet Original Water-Based Lube - 9 oz,15.90,34.99,Products,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG16,Wet Original Water-Based Lube - 16 oz,24.99,54.99,Products,All,Wet,Classic water-based formula. Gear, Not Medicine.
W27202,Wet Hybrid Premium Blend Lube - 1 oz,4.08,8.99,Products,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27204,Wet Hybrid Premium Blend Lube - 3.1 oz,6.35,13.99,Products,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27208,Wet Hybrid Premium Blend Lube - 9 oz,12.72,27.99,Products,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27209,Wet Hybrid Premium Blend Lube - 16 oz,20.44,44.99,Products,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
BC-FDA8-2,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,14.20,31.25,Products,All,Elbow Grease,Deep action silicone lubricant. Gear, Not Medicine.
IDDXTM-04-2,ID Xtreme Waterbased - 4.4 oz,3.85,8.48,Products,All,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.





SE1514-25,Accommodator Dual Penetrator - Black,11.75,25.85,Somatic Hardware > Mechanical,Alex,Williams Trading,Dual penetrator with simultaneous vibration. Gear, Not Medicine.
IBIC1359,Alien Nation Centaur,45.00,99.00,Somatic Hardware > Positional,Alex,Eldorado,Advanced positional hardware. Gear, Not Medicine.
IBIC1350,Alien Nation Cerberus,27.50,60.50,Somatic Hardware > Positional,Alex,Eldorado,Multi-headed positional anchor. Gear, Not Medicine.
DJ5079-03,Belladonna's Bitch Fist,27.53,60.57,Somatic Hardware > Mechanical,Alex,Williams Trading,Textured fisting aid. Gear, Not Medicine.
BV-162,b-Vibe Fists 14.5" Fist-Style Realistic Dildo,25.00,55.00,Somatic Hardware > Mechanical,Alex,b-Vibe,Large-scale internal expansion tool. Gear, Not Medicine.
BV-058-CRM,b-Vibe Slipskin 9" Girthy - Cream,92.50,203.50,Somatic Hardware > Mechanical,Alex,b-Vibe,Textured silicone cylinder. Gear, Not Medicine.
DJ0300-16,A Play Expander Rechargeable Plug - Royal Blue,67.75,149.05,Somatic Hardware > Mechanical,Alex,Williams Trading,Graduated expansion plug with vibration. Gear, Not Medicine.
NX1254,Nexus Simul8 Black,43.50,95.70,Somatic Hardware > Mechanical,Alex,Nexus,Advanced mechanical tactile stimulator. Gear, Not Medicine.
GLAS-514,Glas 11" Fist Double Ended w/Handle Grip,35.00,77.00,Somatic Hardware > Glass,Alex,Eldorado,Double-ended glass cylinder. Gear, Not Medicine.
BC-FDA8,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,31.25,68.75,Somatic Hardware > Lubricants,Alex,Elbow Grease,Deep action silicone lubricant. Gear, Not Medicine.
BV-018BLK,b-Vibe Snug & Tug Weighted Silicone & Penis Ring,27.50,60.50,Somatic Hardware > Mechanical,Alex,b-Vibe,Weighted ring and plug assembly. Gear, Not Medicine.
BL92008,Blush Performance Plus Pursuit,6.50,14.30,Somatic Hardware > Mechanical,Alex,Blush,Tactile performance tool. Gear, Not Medicine.
XRAH394,Creature Cocks Dragon Claw Silicone Dildo,63.93,140.65,Somatic Hardware > Mechanical,Alex,XR Brands,Textured fantasy silicone dildo. Gear, Not Medicine.
DJ8160-38,Signature Cocks ULTRASKYN 8.5" Girthmaster,46.01,101.22,Somatic Hardware > Mechanical,Alex,Williams Trading,Ultraskyn textured stroker. Gear, Not Medicine.
IDDXTM-04,ID Xtreme Waterbased - 4.4 oz,8.48,18.66,Somatic Hardware > Lubricants,Alex,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.
CRC-CLA-04,Clarity Glass Dildo - Celestial Orb,15.00,33.00,Somatic Hardware > Glass,Ken,Clarity Glass,Precision glass insertable with orb tip. Gear, Not Medicine.
CRC-CLA-24,Clarity Glass 3 Piece Kit - Utopian Trinity,20.00,44.00,Somatic Hardware > Glass,Ken,Clarity Glass,Three-piece borosilicate glass set. Gear, Not Medicine.
GLAS-508,Glas 10" Mr. Swirly Dildo - Red,40.00,88.00,Somatic Hardware > Glass,Ken,Eldorado,Spiral fluted glass dildo. Gear, Not Medicine.
XRAG251,7X Bendable Prostate Stimulator,58.09,127.80,Somatic Hardware > Mechanical,Ken,XR Brands,Bendable internal prostate stimulator. Gear, Not Medicine.
BV-088,b-Vibe Jewel Metal Training Set,20.00,44.00,Somatic Hardware > Restraint,Ken,b-Vibe,Aluminum alloy plug training set. Gear, Not Medicine.
VI-A0308,VeDO Hump Silicone Anal Plug,8.50,18.70,Somatic Hardware > Mechanical,Ken,VeDO,Ergonomic silicone plug. Gear, Not Medicine.
WVSNVC4SG5,We-Vibe Vector+ - Royal Blue,55.88,122.94,Somatic Hardware > Mechanical,Ken,We-Vibe,App-connected targeted stimulator. Gear, Not Medicine.
PLPC32037,Plesur Advanced 30mm Magnetic Ball Stretcher,40.00,88.00,Somatic Hardware > Restraint,Ken,Plesur,Magnetic ball weight. Gear, Not Medicine.
SE2385-00,Anti-Bacterial Toy Cleaner - 4.3 oz,4.85,10.67,Somatic Hardware > Hygiene,Ken,Williams Trading,Sanitizing toy cleaner spray. Gear, Not Medicine.
IDDFRB04,ID FREE Water Based Lubricant - 4.4 oz,9.50,20.90,Somatic Hardware > Lubricants,Ken,ID Lubricants,Hypoallergenic water-based lubricant. Gear, Not Medicine.
NB001755,Nobu Galaxy Moon Plug,10.75,23.65,Somatic Hardware > Mechanical,Ken,Nobu,Textured silicone plug. Gear, Not Medicine.
BV-098,b-Vibe Dart Silicone Anal Plug,15.00,33.00,Somatic Hardware > Mechanical,Ken,b-Vibe,Sleek tapered anal plug. Gear, Not Medicine.
EN-DD-6238,Evolved real Supple Poseable Girthy,17.49,38.48,Somatic Hardware > Mechanical,Ken,Evolved,Poseable internal dildo. Gear, Not Medicine.
DJ0301-02,A Play Hybrid Anal Lubricant - 4 oz,10.62,23.36,Somatic Hardware > Lubricants,Ken,Williams Trading,Hybrid silicone-water lubricant. Gear, Not Medicine.
SHTLVL010043TEA,Shots Levelz Set of 4 Cock & Ball Rings - Teal,21.95,48.29,Somatic Hardware > Restraint,Ken,Shots,Silicone cock and ball ring set. Gear, Not Medicine.
SE0414-00,Weighted Silicone Anal Plug - Black,5.45,11.99,Somatic Hardware > Mechanical,Marcus,Williams Trading,Weighted silicone plug for endurance. Gear, Not Medicine.
BV-048BLK,b-Vibe Expand Plug - Black,85.00,187.00,Somatic Hardware > Mechanical,Marcus,b-Vibe,Graduated expansion plug with remote control. Gear, Not Medicine.
VI-A0108,VeDO Trio Anal Plug Set - Black,19.50,42.90,Somatic Hardware > Mechanical,Marcus,VeDO,Progressive plug set. Gear, Not Medicine.
XRAG409,Master Series Ball Trap Metal Ball Stretcher,36.74,80.83,Somatic Hardware > Restraint,Marcus,XR Brands,Heavy metal ball stretcher. Gear, Not Medicine.
PF-ER-25,ErgoFlo Director - Black,37.95,83.49,Somatic Hardware > Mechanical,Jasper,ErgoFlo,Advanced prostate and perineum massager. Gear, Not Medicine.
BBGOLD,Boy Butter Gold Formula - 16 oz,44.99,98.98,Somatic Hardware > Lubricants,Jasper,Boy Butter,Rich cream lubricant and moisturizer. Gear, Not Medicine.
6755-12,Swiss Navy Silicone Lubricant - 32 oz,79.99,175.98,Somatic Hardware > Lubricants,Jasper,Swiss Navy,Professional large-format silicone lubricant. Gear, Not Medicine.
SS36001,Pivot Positioner SS360,115.00,253.00,Somatic Hardware > Positional,Gabe,Sportsheets,Positional support wedge and wedge system. Gear, Not Medicine.
SS77016,Precision Sting Crop,45.00,99.00,Somatic Hardware > Impact,Gabe,Sportsheets,Precision leather impact crop. Gear, Not Medicine.
SS09916,Shadow Full Hood,65.00,143.00,Somatic Hardware > Restraint,Gabe,Sportsheets,Sensory isolation hood with lockable hardware. Gear, Not Medicine.
AH155-QP,Ultimate Obedience Chair,568.18,1250.00,Somatic Hardware > Positional,Simon,XR Brands,Heavy-duty bondage throne with integrated machine. Gear, Not Medicine.
AF596-QP,The Super Milker Automatic Stroker,131.36,289.00,Somatic Hardware > Mechanical,Simon,Sex Toy Distributing,Four-cylinder automatic stroker and suction suite. Gear, Not Medicine.
AH354-QP,St. Andrew's Cross Deluxe,309.09,680.00,Somatic Hardware > Restraint,Simon,Sex Toy Distributing,Free-standing adjustable restraint frame. Gear, Not Medicine.
AH158-QP,Bareback Submission Horse,236.36,520.00,Somatic Hardware > Positional,Simon,Sex Toy Distributing,Heavy-duty bondage bench with 6 attachment points. Gear, Not Medicine.
CN1036-QP,Power Up Automatic Penis Pump,50.00,110.00,Somatic Hardware > Mechanical,Simon,Sex Toy Distributing,Rechargeable automatic vacuum pump. Gear, Not Medicine.
AH409-QP,Pleasure Throne Oral Chair,222.73,490.00,Somatic Hardware > Positional,Simon,Sex Toy Distributing,Adjustable oral sex chair with restraints. Gear, Not Medicine.
AJ098-QP,King Size Dungeon Bed with Suspension Canopy,2725.00,5995.00,Somatic Hardware > Heavy Hardware,Simon,XR Brands,Carbon steel bed frame with 24 D-rings and canopy. Gear, Not Medicine.
AH700-QP,King West Industrial Bondage Bed Frame,1113.64,2450.00,Somatic Hardware > Heavy Hardware,Simon,Queer Pathways Logistics,Heavy-duty steel canopy rigging bed frame. Gear, Not Medicine.
QP-SIL-01,Sovereign Starter 1oz Silicone Lube,8.40,18.49,Somatic Hardware > Lubricants,All,Double Outsider Supply Co,Entry-level trial volume silicone lubricant. Gear, Not Medicine.
W26103,Wet Platinum Silicone Lube - 3.1 oz,6.81,14.99,Somatic Hardware > Lubricants,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W26106,Wet Platinum Silicone Lube - 6.1 oz,9.08,19.99,Somatic Hardware > Lubricants,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W20702,Wet Platinum Silicone Lube - 9 oz,16.81,36.99,Somatic Hardware > Lubricants,All,Wet,Pure silicone long-lasting formula. Gear, Not Medicine.
W20708,Wet Platinum Silicone Lube - 16 oz,27.26,59.99,Somatic Hardware > Lubricants,All,Wet,Professional 16 oz pump bottle. Gear, Not Medicine.
W20715,Wet Platinum Silicone Lube - 32 oz,52.26,114.99,Somatic Hardware > Lubricants,All,Wet,High-capacity 32 oz container. Gear, Not Medicine.
W20714,Wet Platinum Silicone Lube - 1 Gallon,159.08,349.99,Somatic Hardware > Lubricants,All,Wet,Flagship 1 gallon bulk volume container. Gear, Not Medicine.
WORIG310,Wet Original Water-Based Lube - 3.1 oz,4.54,9.99,Somatic Hardware > Lubricants,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG610,Wet Original Water-Based Lube - 6.1 oz,7.72,16.99,Somatic Hardware > Lubricants,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG9,Wet Original Water-Based Lube - 9 oz,15.90,34.99,Somatic Hardware > Lubricants,All,Wet,Classic water-based formula. Gear, Not Medicine.
WORIG16,Wet Original Water-Based Lube - 16 oz,24.99,54.99,Somatic Hardware > Lubricants,All,Wet,Classic water-based formula. Gear, Not Medicine.
W27202,Wet Hybrid Premium Blend Lube - 1 oz,4.08,8.99,Somatic Hardware > Lubricants,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27204,Wet Hybrid Premium Blend Lube - 3.1 oz,6.35,13.99,Somatic Hardware > Lubricants,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27208,Wet Hybrid Premium Blend Lube - 9 oz,12.72,27.99,Somatic Hardware > Lubricants,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27209,Wet Hybrid Premium Blend Lube - 16 oz,20.44,44.99,Somatic Hardware > Lubricants,All,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
BC-FDA8-2,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,14.20,31.25,Somatic Hardware > Lubricants,All,Elbow Grease,Deep action silicone lubricant. Gear, Not Medicine.
IDDXTM-04-2,ID Xtreme Waterbased - 4.4 oz,3.85,8.48,Somatic Hardware > Lubricants,All,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.
W26103,Wet Platinum Silicone Lube - 3.1 oz,14.99,237,237,Products,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W26106,Wet Platinum Silicone Lube - 6.1 oz,19.99,182,182,Products,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W20702,Wet Platinum Silicone Lube - 9 oz,36.99,111,111,Products,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W20708,Wet Platinum Silicone Lube - 16 oz,59.99,63,63,Products,Wet,Professional-grade 16 oz pump bottle. Gear, Not Medicine.
W20715,Wet Platinum Silicone Lube - 32 oz,114.99,14,14,Products,Wet,High-capacity 32 oz volume container. Gear, Not Medicine.
W20714,Wet Platinum Silicone Lube - 1 Gallon,349.99,14,14,Products,Wet,Flagship 1 gallon bulk supply line (The Throne Tier). Gear, Not Medicine.
WORIG310,Wet Original Water-Based Lube - 3.1 oz,9.99,316,316,Products,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG610,Wet Original Water-Based Lube - 6.1 oz,16.99,182,182,Products,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG9,Wet Original Water-Based Lube - 9 oz,34.99,111,111,Products,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG16,Wet Original Water-Based Lube - 16 oz,54.99,63,63,Products,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
W27202,Wet Hybrid Premium Blend Lube - 1 oz,8.99,122,122,Products,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27204,Wet Hybrid Premium Blend Lube - 3.1 oz,13.99,9,9,Products,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27208,Wet Hybrid Premium Blend Lube - 9 oz,27.99,38,38,Products,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27209,Wet Hybrid Premium Blend Lube - 16 oz,44.99,16,16,Products,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
6755-12,Swiss Navy Silicone Lubricant - 32 oz,89.99,150,150,Products,Swiss Navy,Professional-grade 32 oz silicone lubricant with pump. Gear, Not Medicine.
BBGOLD,Boy Butter Original Formula - 16 oz,45.00,85,85,Products,Boy Butter,Rich cream-based lubricant and hand moisturizer. Gear, Not Medicine.
WT-27030,Wet Platinum Wipes 10ct,6.99,200,200,Products,Wet,Convenient personal cleansing wipes. Gear, Not Medicine.
QP-SIL-01,Sovereign Starter 1oz Silicone Lube,18.49,500,500,Products,Double Outsider Supply Co,Entry-level volume sizing for trial and gifting (The Warm-Up Tier). Gear, Not Medicine.
BC-FDA8,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,31.25,95,95,Products,Elbow Grease,High-viscosity deep action silicone formula. Gear, Not Medicine.
IDDXTM-04,ID Xtreme Waterbased - 4.4 oz,8.48,110,110,Products,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.
W26103,Wet Platinum Silicone Lube - 3.1 oz,14.99,237,237,Somatic Hardware > Lubricants,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W26106,Wet Platinum Silicone Lube - 6.1 oz,19.99,182,182,Somatic Hardware > Lubricants,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W20702,Wet Platinum Silicone Lube - 9 oz,36.99,111,111,Somatic Hardware > Lubricants,Wet,Long-lasting pure silicone formula. Glycerin-free and paraben-free. Gear, Not Medicine.
W20708,Wet Platinum Silicone Lube - 16 oz,59.99,63,63,Somatic Hardware > Lubricants,Wet,Professional-grade 16 oz pump bottle. Gear, Not Medicine.
W20715,Wet Platinum Silicone Lube - 32 oz,114.99,14,14,Somatic Hardware > Lubricants,Wet,High-capacity 32 oz volume container. Gear, Not Medicine.
W20714,Wet Platinum Silicone Lube - 1 Gallon,349.99,14,14,Somatic Hardware > Lubricants,Wet,Flagship 1 gallon bulk supply line (The Throne Tier). Gear, Not Medicine.
WORIG310,Wet Original Water-Based Lube - 3.1 oz,9.99,316,316,Somatic Hardware > Lubricants,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG610,Wet Original Water-Based Lube - 6.1 oz,16.99,182,182,Somatic Hardware > Lubricants,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG9,Wet Original Water-Based Lube - 9 oz,34.99,111,111,Somatic Hardware > Lubricants,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
WORIG16,Wet Original Water-Based Lube - 54.99,63,63,Somatic Hardware > Lubricants,Wet,Classic water-based formula. Condom compatible. Gear, Not Medicine.
W27202,Wet Hybrid Premium Blend Lube - 1 oz,8.99,122,122,Somatic Hardware > Lubricants,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27204,Wet Hybrid Premium Blend Lube - 3.1 oz,13.99,9,9,Somatic Hardware > Lubricants,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27208,Wet Hybrid Premium Blend Lube - 9 oz,27.99,38,38,Somatic Hardware > Lubricants,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
W27209,Wet Hybrid Premium Blend Lube - 16 oz,44.99,16,16,Somatic Hardware > Lubricants,Wet,Silicone and water hybrid blend. Gear, Not Medicine.
6755-12,Swiss Navy Silicone Lubricant - 32 oz,89.99,150,150,Somatic Hardware > Lubricants,Swiss Navy,Professional-grade 32 oz silicone lubricant with pump. Gear, Not Medicine.
BBGOLD,Boy Butter Original Formula - 16 oz,45.00,85,85,Somatic Hardware > Lubricants,Boy Butter,Rich cream-based lubricant and hand moisturizer. Gear, Not Medicine.
WT-27030,Wet Platinum Wipes 10ct,6.99,200,200,Somatic Hardware > Lubricants,Wet,Convenient personal cleansing wipes. Gear, Not Medicine.
QP-SIL-01,Sovereign Starter 1oz Silicone Lube,18.49,500,500,Somatic Hardware > Lubricants,Double Outsider Supply Co,Entry-level volume sizing for trial and gifting (The Warm-Up Tier). Gear, Not Medicine.
BC-FDA8,Elbow Grease Fusion Deep Action Silicone - 8.4 oz,31.25,95,95,Somatic Hardware > Lubricants,Elbow Grease,High-viscosity deep action silicone formula. Gear, Not Medicine.
IDDXTM-04,ID Xtreme Waterbased - 4.4 oz,8.48,110,110,Somatic Hardware > Lubricants,ID Lubricants,High-performance water-based lubricant. Gear, Not Medicine.
